Month,Day,Hour,DayOfWeek,Holiday,Power,Temperature, 
1,15,15,7,0,75.4517,16.8, 
1,15,16,7,0,76.6305,15.1, 
1,15,17,7,0,82.9535,14.935, 
1,15,18,7,0,85.1035,13.835, 
1,15,19,7,0,82.6653,12.795, 
1,15,20,7,0,79.3643,12.47, 
1,15,21,7,0,75.9017,13.835, 
1,15,22,7,0,71.5348,12.765, 
1,15,23,7,0,66.3789,11.835, 
1,15,24,7,0,63.189,10.765, 
1,16,1,1,1,61.5538,10, 
1,16,2,1,1,60.7915,10, 
1,16,3,1,1,60.4221,9.85, 
1,16,4,1,1,60.6043,9, 
1,16,5,1,1,62.2448,8.865, 
1,16,6,1,1,67.7286,8.1, 
1,16,7,1,1,77.4909,8.175, 
1,16,8,1,1,82.2435,8.945, 
1,16,9,1,1,85.4833,11.065, 
1,16,10,1,1,88.9911,12.3, 
1,16,11,1,1,90.9417,14.3, 
1,16,12,1,1,89.4879,16.3, 
1,16,13,1,1,87.0407,18.285, 
1,16,14,1,1,87.3819,20.065, 
1,16,15,1,1,86.8716,21, 
1,16,16,1,1,87.4768,20.7, 
1,16,17,1,1,92.9389,18.715, 
1,16,18,1,1,92.8717,16.8, 
1,16,19,1,1,89.8705,15.1, 
1,16,20,1,1,86.1518,15.535, 
1,16,21,1,1,82.1245,17.865, 
1,16,22,1,1,75.8621,17.235, 
1,16,23,1,1,70.1973,18, 
1,16,24,1,1,66.6316,18.15, 
1,17,1,2,0,61.081,18.85, 
1,17,2,2,0,60.3867,18, 
1,17,3,2,0,59.2707,18.15, 
1,17,4,2,0,59.2541,19.135, 
1,17,5,2,0,62.7599,20.2, 
1,17,6,2,0,68.5364,21.465, 
1,17,7,2,0,82.4853,19.435, 
1,17,8,2,0,85.4919,22.53, 
1,17,9,2,0,86.7746,26.685, 
1,17,10,2,0,86.9073,30.465, 
1,17,11,2,0,87.4481,33.4, 
1,17,12,2,0,85.5064,35.235, 
1,17,13,2,0,85.0995,35.94, 
1,17,14,2,0,84.2162,35.81, 
1,17,15,2,0,82.2192,36.415, 
1,17,16,2,0,84.239,33.1, 
1,17,17,2,0,90.104,32.635, 
1,17,18,2,0,88.2965,30.135, 
1,17,19,2,0,86.4817,31.065, 
1,17,20,2,0,84.5773,32.3, 
1,17,21,2,0,80.7477,34.165, 
1,17,22,2,0,74.8572,35.1, 
1,17,23,2,0,69.1471,35.235, 
1,17,24,2,0,65.7875,35.85, 
1,18,1,3,0,62.3961,36.15, 
1,18,2,3,0,61.7164,37, 
1,18,3,3,0,61.331,37.135, 
1,18,4,3,0,61.1843,37.7333, 
1,18,5,3,0,63.4075,37.7929, 
1,18,6,3,0,68.8874,37.525, 
1,18,7,3,0,83.3468,39.0391, 
1,18,8,3,0,88.5563,42.535, 
1,18,9,3,0,89.1819,45.285, 
1,18,10,3,0,89.5085,47.2, 
1,18,11,3,0,92.1957,49.23, 
1,18,12,3,0,88.8803,51.235, 
1,18,13,3,0,87.1793,51.865, 
1,18,14,3,0,89.1349,51.237, 
1,18,15,3,0,87.0861,50.6875, 
1,18,16,3,0,87.2196,49.835, 
1,18,17,3,0,92.0588,48.2, 
1,18,18,3,0,89.0272,47.424, 
1,18,19,3,0,85.8839,43.635, 
1,18,20,3,0,81.5835,40.7, 
1,18,21,3,0,76.3202,39, 
1,18,22,3,0,70.0718,38.835, 
1,18,23,3,0,65.8403,37.9, 
1,18,24,3,0,63.1148,37.9, 
1,19,1,4,0,60.5854,37.765, 
1,19,2,4,0,59.7135,37, 
1,19,3,4,0,58.6986,36.715, 
1,19,4,4,0,59.7388,35.1, 
1,19,5,4,0,61.2635,34.905, 
1,19,6,4,0,66.6658,33.83, 
1,19,7,4,0,81.5876,34, 
1,19,8,4,0,86.0862,34.165, 
1,19,9,4,0,86.2426,35.385, 
1,19,10,4,0,86.5058,37.135, 
1,19,11,4,0,86.8282,37.9, 
1,19,12,4,0,84.6172,38.065, 
1,19,13,4,0,82.4574,39.135, 
1,19,14,4,0,82.9639,39.765, 
1,19,15,4,0,81.1489,38.835, 
1,19,16,4,0,82.0382,37.765, 
1,19,17,4,0,87.3486,36.715, 
1,19,18,4,0,86.4513,34.8, 
1,19,19,4,0,84.0487,33.1, 
1,19,20,4,0,82.8064,32.935, 
1,19,21,4,0,79.5625,32.465, 
1,19,22,4,0,73.8823,35.1, 
1,19,23,4,0,68.226,35.235, 
1,19,24,4,0,64.197,35.7, 
1,20,1,5,0,61.5727,34.165, 
1,20,2,5,0,60.8916,35.175, 
1,20,3,5,0,60.6004,35.525, 
1,20,4,5,0,60.222,35.1, 
1,20,5,5,0,62.2664,35.1, 
1,20,6,5,0,67.1466,34.8, 
1,20,7,5,0,78.5404,33.1, 
1,20,8,5,0,82.1651,33.535, 
1,20,9,5,0,81.5214,36.75, 
1,20,10,5,0,81.4085,41.465, 
1,20,11,5,0,82.9592,44.685, 
1,20,12,5,0,81.2769,48.465, 
1,20,13,5,0,76.7193,51.235, 
1,20,14,5,0,77.4857,52.3, 
1,20,15,5,0,75.8317,54, 
1,20,16,5,0,75.6889,53.4, 
1,20,17,5,0,79.5922,49.7, 
1,20,18,5,0,79.6612,48.03, 
1,20,19,5,0,76.3355,47.93, 
